authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,,,,Continent,Duration,
"Becker, J.","9.3043462, 39.7606305, 9.3043462, 39.7606305",2019-06-06T20:12:48Z,jbecker,1,Representative location based on OpenStreetMap.,wall-2,"{""type"": ""Point"", ""coordinates"": [9.3043462, 39.7606305]}",osm-location-of-recinto-megalitico-monte-santa,precise,representative,-1000,-750,2020-12-20T12:26:25Z,/places/673092244/osm-location-of-recinto-megalitico-monte-santa,/places/673092244,39.7606305,"39.7606305,9.3043462",9.3043462,,2,2nd-millenium-bce,"-2000.0,-1000.0",OSM location of Recinto Megalitico Monte Santa Vittoria,b1bf8b7eabc54df4ab12a1655f32b164,,,,EUROPE,10300,prehistory
"Becker, J.","-3.9576942, 36.7266472, -3.9576942, 36.7266472",2013-11-28T20:03:15Z,jbecker,1,Location based on OpenStreetMap,"villa,","{""type"": ""Point"", ""coordinates"": [-3.9576942, 36.7266472]}",osm-location-of-roman-villa,precise,representative,300,-10000,2013-11-28T20:04:01Z,/places/265896/osm-location-of-roman-villa,/places/265896,36.7266472,"36.7266472,-3.9576942",-3.9576942,,R,roman,"-30.0,300.0",OSM location of Roman villa,d9716551755de17daa0e42479337558e,,,,EUROPE,10300,prehistory
"Becker, J.","26.105125, 35.1592982, 26.105125, 35.1592982",2013-08-01T00:41:28Z,jbecker,2,Representative location based on OpenStreetMap.,"villa,","{""type"": ""Point"", ""coordinates"": [26.105125, 35.1592982]}",location-of-minoan-villa,precise,representative,-1000,-750,2018-02-09T22:34:46Z,/places/144291814/location-of-minoan-villa,/places/144291814,35.1592982,"35.1592982,26.105125",26.105125,,2M,"2nd-millenium-bce,middleminoan","-2000.0,-1000.0","OSM location of so-called ""Minoan Villa of Zou""",bb16cfc77cc85f21971ab3acadc9b873,,,,EUROPE,10300,prehistory
"Becker, J.","-0.3033324, 44.6253171, -0.3033324, 44.6253171",2014-05-04T21:41:04Z,jbecker,1,Location based on OpenStreetMap,"villa,","{""type"": ""Point"", ""coordinates"": [-0.3033324, 44.6253171]}",osm-location,precise,representative,300,-750,2019-10-01T02:28:17Z,/places/140572/osm-location,/places/140572,44.6253171,"44.6253171,-0.3033324",-0.3033324,,R,roman,"-30.0,300.0",OSM location,bbfbceab9a76801178368bd0b10fee15,,,,EUROPE,10640,prehistory
"Sivan, H., R. Mathisen, R. Talbert, S. Gillies, J. Ã…hlfeldt, T. Elliott","-0.36934, 44.503332, -0.36934, 44.503332",2011-11-11T06:28:56Z,"H.S. Sivan, R.W. Mathisen",2,A positive identification of the sub-commune location noted in the Barrington Atlas directory,"villa,","{""type"": ""Point"", ""coordinates"": [-0.36934, 44.503332]}",center-of-batlas-location,precise,representative,640,-750,2013-10-04T17:16:35Z,/places/140576/center-of-batlas-location,/places/140576,44.503332,"44.503332,-0.36934",-0.36934,,RL,"roman,late-antique","-30.0,640.0",Center point of location,15f98b364ef818ffd8342e684c99f7ec,,,,EUROPE,10640,prehistory
"Becker, J.","3.6143354, 43.4400883, 3.6143354, 43.4400883",2013-06-19T17:22:43Z,jbecker,1,Location based on OpenStreetMap,"villa,","{""type"": ""Point"", ""coordinates"": [3.6143354, 43.4400883]}",location-of-loupian-roman-villa,precise,representative,640,-750,2013-06-20T16:54:11Z,/places/148180/location-of-loupian-roman-villa,/places/148180,43.4400883,"43.4400883,3.6143354",3.6143354,,RL,"roman,late-antique","-30.0,640.0",location of Loupian Roman villa,9fd4d28aceeb608420b50e912fd5f2e5,,,,EUROPE,10300,prehistory
"Loseby, S., R. HÃ¤ussler, DARMC, R. Talbert, S. Gillies, T. Elliott, J. Becker","5.982327, 43.319761, 5.982327, 43.319761",2011-03-04T22:27:29Z,"S. Loseby, R. HÃ¤ussler",2,500K scale point location,"villa,","{""type"": ""Point"", ""coordinates"": [5.982327, 43.319761]}",darmc-location-6820,precise,representative,300,-750,2013-07-03T14:46:48Z,/places/157862/darmc-location-6820,/places/157862,43.319761,"43.319761,5.982327",5.982327,,R,roman,"-30.0,300.0",DARMC location 6820,6b1b1c675b7096ea34cdaaf4792b37e3,,,,EUROPE,10300,prehistory
"Becker, J.","11.3476048, 42.6518769, 11.3476048, 42.6518769",2013-12-01T06:00:57Z,jbecker,4,Representative location based on OpenStreetMap.,"villa,","{""type"": ""Point"", ""coordinates"": [11.3476048, 42.6518769]}",location-of-roman-villa,precise,"representative,",300,-750,2016-08-18T18:34:37Z,/places/861510570/location-of-roman-villa,/places/861510570,42.6518769,"42.6518769,11.3476048",11.3476048,,HR,"hellenistic-republican,roman","-330.0,300.0",OSM location of Villa Romana di Aia Nuova,b3b20b135c9530b91ac33f359b42730c,,,,EUROPE,12100,prehistory
"Becker, J.","2.2879446, 41.6707055, 2.2879446, 41.6707055",2014-07-04T12:23:21Z,jbecker,3,Representative location based on OpenStreetMap.,"villa,","{""type"": ""Point"", ""coordinates"": [2.2879446, 41.6707055]}",osm-location,precise,"representative,",640,-750,2018-02-09T23:21:53Z,/places/168048854/osm-location,/places/168048854,41.6707055,"41.6707055,2.2879446",2.2879446,,R,roman-early-empire-late-antique,"-30.0,640.0",OSM location of Villa romana de Can TerrÃ©s,4843c1c060b8a2d0abc9f60a7923ee7e,,,,EUROPE,10300,prehistory
"Becker, J.","-6.1627413, 36.5215031, -6.1627413, 36.5215031",2014-07-04T18:05:20Z,jbecker,2,Representative location of the archaeological area based on OpenStreetMap.,"villa,","{""type"": ""Point"", ""coordinates"": [-6.1627413, 36.5215031]}",osm-location,precise,representative,300,-750,2018-02-09T23:22:54Z,/places/102500043/osm-location,/places/102500043,36.5215031,"36.5215031,-6.1627413",-6.1627413,,R,roman,"-30.0,300.0",OSM location of Yacimiento del Puente Melchor,6cbb5f7aef44e8efcbb1360a6ae75763,,,,EUROPE,10300,prehistory
"Becker, J.","13.7727592, 44.9090255, 13.774985, 44.9108244",2016-06-30T11:47:13Z,jbecker,1,Representative location based on OpenStreetMap.,"villa,","{""type"": ""Polygon"", ""coordinates"": [[[13.7746923, 44.9090255], [13.7744728, 44.9090327], [13.7727795, 44.9098706], [13.7727592, 44.9101081], [13.7728344, 44.9104177], [13.7733654, 44.9108244], [13.7745459, 44.9101945], [13.774863, 44.9100146], [13.774985, 44.909741], [13.7746923, 44.9090255]]]}",osm-location-of-roman-villa-in-the-bay-of-verige,precise,representative,300,-750,2016-07-01T09:54:14Z,/places/236993544/osm-location-of-roman-villa-in-the-bay-of-verige,/places/236993544,44.90985345,"44.9098534541,13.7738700725",13.77387007,,R,roman,"-30.0,300.0",OSM location of Roman villa in the bay of Verige,ff29e35bbec64ce8a7ccef72f0363b50,,,,EUROPE,10640,prehistory
"Becker, J., R. Horne","9.5739343, 45.3924168, 9.5739343, 45.3924168",2014-06-05T17:25:38Z,jbecker,4,Representative location based on OpenStreetMap.,"villa,","{""type"": ""Point"", ""coordinates"": [9.5739343, 45.3924168]}",osm-location,precise,"representative,",640,-750,2016-08-04T16:13:10Z,/places/383735/osm-location,/places/383735,45.3924168,"45.3924168,9.5739343",9.5739343,,L,late-antique,"300.0,640.0",OSM location of Palazzo Pignano - Zona Archeologica,6c6f7b01cb494aa50abdd245568674ad,,,,EUROPE,10640,prehistory
"Becker, J.","10.4896134, 42.9858967, 10.4896134, 42.9858967",2015-07-20T00:10:48Z,jbecker,2,Representative location based on OpenStreetMap.,"villa,","{""type"": ""Point"", ""coordinates"": [10.4896134, 42.9858967]}",osm-location,precise,representative,640,-750,2018-07-12T19:49:26Z,/places/24736652/osm-location,/places/24736652,42.9858967,"42.9858967,10.4896134",10.4896134,,R,roman-early-empire-late-antique,"-30.0,640.0",OSM location of Parco archeologico di Baratti e Populonia - Scavo a Poggio del Molino o del Telegrafo,1196767fb539110251ab9ffdd715d0dd,,,,EUROPE,10640,prehistory
"Becker, J., E. Robinson","-3.9576059, 40.1845888, -3.9576059, 40.1845888",2013-11-12T00:42:17Z,jbecker,4,Representative point derived from an OpenStreetMap way.,"villa,","{""type"": ""Point"", ""coordinates"": [-3.9576059, 40.1845888]}",location-of-roman-villa,precise,"representative,",640,-750,2019-08-28T21:49:41Z,/places/642983159/location-of-roman-villa,/places/642983159,40.1845888,"40.1845888,-3.9576059",-3.9576059,,L,late-antique,"300.0,640.0",OSM location of archaeological area,f08ef909c40e9c41384e326b36cce7e9,,,,EUROPE,10640,prehistory
"Becker, J.","-3.9574122, 40.1859768, -3.9574122, 40.1859768",2013-11-12T00:48:51Z,jbecker,3,Location based on OpenStreetMap,"villa,","{""type"": ""Point"", ""coordinates"": [-3.9574122, 40.1859768]}",location-of-villa-of-maternus,precise,"representative,",640,-750,2019-08-28T21:49:41Z,/places/642983159/location-of-villa-of-maternus,/places/642983159,40.1859768,"40.1859768,-3.9574122",-3.9574122,,L,late-antique,"300.0,640.0",OSM location of villa of Maternus,8fdc3354378b40f4a6c5a58885941281,,,,EUROPE,10300,prehistory
"Becker, J.","-4.8681546, 40.8059259, -4.8681546, 40.8059259",2013-11-28T18:17:51Z,jbecker,2,Representative location based on OpenStreetMap,"villa,","{""type"": ""Point"", ""coordinates"": [-4.8681546, 40.8059259]}",location-of-roman-villa,precise,representative,640,-720,2020-12-20T12:27:09Z,/places/606075817/location-of-roman-villa,/places/606075817,40.8059259,"40.8059259,-4.8681546",-4.8681546,,RL,"roman,late-antique","-30.0,640.0",OSM location of Roman villa,b04a6278e0b7bac9a2e1f11b6db223c7,,,,EUROPE,10300,prehistory
"Becker, J.","-3.0794566, 37.8858685, -3.0794566, 37.8858685",2013-08-13T04:06:35Z,jbecker,2,Representative location based on OpenStreetMap,villa,"{""type"": ""Point"", ""coordinates"": [-3.0794566, 37.8858685]}",location-of-villa-romana-de-brunel,precise,representative,640,-6500,2020-03-16T17:57:26Z,/places/265996/location-of-villa-romana-de-brunel,/places/265996,37.8858685,"37.8858685,-3.0794566",-3.0794566,,RL,"roman,late-antique","-30.0,640.0",OSM location of Villa romana de BruÃ±el,3c98633c23c349aa3c82192e60d7976c,,,,EUROPE,10300,prehistory
"Becker, J.","-0.14602, 39.8329431, -0.14602, 39.8329431",2015-08-08T22:17:02Z,jbecker,2,Representative location based on OpenStreetMap,villa,"{""type"": ""Point"", ""coordinates"": [-0.14602, 39.8329431]}",osm-location-of-roman-villa,precise,representative,640,-5000,2021-02-20T12:53:25Z,/places/266010/osm-location-of-roman-villa,/places/266010,39.8329431,"39.8329431,-0.14602",-0.14602,,R,roman-early-empire-late-antique,"-30.0,640.0","OSM location of Pujol de BenicatÃ³, Nules",c05821013dc964c3f9aaed7c1b71409f,,,,EUROPE,10640,prehistory
"Becker, J.","-4.0896184, 37.4430896, -4.0896184, 37.4430896",2019-06-11T19:33:12Z,jbecker,1,Representative location based on OpenStreetMap.,villa,"{""type"": ""Point"", ""coordinates"": [-4.0896184, 37.4430896]}",osm-location-of-villa-romana-el-ruedo,precise,representative,640,-5000,2019-06-11T19:36:18Z,/places/266015/osm-location-of-villa-romana-el-ruedo,/places/266015,37.4430896,"37.4430896,-4.0896184",-4.0896184,,RL,"roman,late-antique","-30.0,640.0","OSM location of Villa Romana ""El Ruedo""",981322d43b9f4c2dbc3e0ed671525324,,,,EUROPE,10640,prehistory
"Becker, J.","-4.0793954, 37.1655993, -4.0790107, 37.1659242",2020-05-18T04:44:26Z,jbecker,1,Location based on OpenStreetMap,villa,"{""type"": ""Polygon"", ""coordinates"": [[[-4.0792558, 37.1655993], [-4.0793954, 37.16583], [-4.0791503, 37.1659242], [-4.0790107, 37.1656935], [-4.0792558, 37.1655993]]]}",osm-location-of-villa-romana-de-salar,precise,representative,,-750,2020-05-24T12:12:32Z,/places/198420714/osm-location-of-villa-romana-de-salar,/places/198420714,37.16576175,"37.1657617462,-4.07920304854",-4.079203049,"extant remains, Mosaic, villa",,,,OSM location of Villa Romana de Salar,b4b181247ee14a5fa7aa4275ab3d00b4,,,,EUROPE,10640,prehistory
"Ã…hlfeldt, J.","4.9418, 43.89376, 4.9418, 43.89376",2012-10-20T19:19:43Z,jahlfeldt,0,"Representative point location, site precision",villa,"{""type"": ""Point"", ""coordinates"": [4.9418, 43.89376]}",dare-location,precise,representative,640,-750,2012-10-20T19:19:45Z,/places/148052/dare-location,/places/148052,43.89376,"43.89376,4.9418",4.9418,,RL,"roman,late-antique","-30.0,640.0",DARE Location,4b0c1e065c0a93c74b610d4c743e196d,,,,EUROPE,10640,prehistory
"Ã…hlfeldt, J.","3.221793, 43.453916, 3.221793, 43.453916",2012-10-20T19:19:49Z,jahlfeldt,0,"Representative point location, site precision",villa,"{""type"": ""Point"", ""coordinates"": [3.221793, 43.453916]}",dare-location,precise,representative,640,-750,2012-10-20T19:19:51Z,/places/148058/dare-location,/places/148058,43.453916,"43.453916,3.221793",3.221793,,RL,"roman,late-antique","-30.0,640.0",DARE Location,d6e187bd11f15f9a960394c4cc070d48,,,,EUROPE,10640,prehistory
"Ã…hlfeldt, J.","3.6143, 43.4401, 3.6143, 43.4401",2012-10-20T19:20:52Z,jahlfeldt,0,"Representative point location, site precision",villa,"{""type"": ""Point"", ""coordinates"": [3.6143, 43.4401]}",dare-location,precise,representative,640,-750,2012-10-20T19:20:53Z,/places/148161/dare-location,/places/148161,43.4401,"43.4401,3.6143",3.6143,,RL,"roman,late-antique","-30.0,640.0",DARE Location,e8c0202b048aab974dffcd4df2fed99b,,,,EUROPE,10640,prehistory
"Ã…hlfeldt, J.","4.2167587, 43.604274, 4.2167587, 43.604274",2012-10-20T19:20:54Z,jahlfeldt,0,"Representative point location, site precision",villa,"{""type"": ""Point"", ""coordinates"": [4.2167587, 43.604274]}",dare-location,precise,representative,640,-750,2012-10-20T19:20:56Z,/places/148162/dare-location,/places/148162,43.604274,"43.604274,4.2167587",4.2167587,,L,late-antique,"300.0,640.0",DARE Location,808730abefc8b6d36e36fc901597edc1,,,,EUROPE,12099,prehistory
"Costa, S., J. Becker","7.838863, 43.821106, 7.838863, 43.821106",2012-07-11T17:07:53Z,scosta,2,"coordinates after GeoHack, verified in Google Earth",villa,"{""type"": ""Point"", ""coordinates"": [7.838863, 43.821106]}",villa-di-bussana,precise,representative,300,-750,2020-03-28T17:37:31Z,/places/157828/villa-di-bussana,/places/157828,43.821106,"43.821106,7.838863",7.838863,,R,roman,"-30.0,300.0",Imagery location of Villa di Bussana,80e4eb456b2132057ab5e9a815486d54,,,,EUROPE,10640,prehistory
"Becker, J.","6.5561694, 43.1903747, 6.5561694, 43.1903747",2019-06-11T19:05:03Z,jbecker,1,Representative location based on OpenStreetMap.,villa,"{""type"": ""Point"", ""coordinates"": [6.5561694, 43.1903747]}",osm-location-of-pardigon,precise,representative,300,-750,2020-06-18T18:31:01Z,/places/157902/osm-location-of-pardigon,/places/157902,43.1903747,"43.1903747,6.5561694",6.5561694,,R,roman,"-30.0,300.0",OSM location of Pardigon,ca49bb7b616e43ceab7118a913d3e69c,,,,EUROPE,10300,prehistory
"Becker, J.","13.423689, 41.271759, 13.4243715, 41.2722023",2020-09-13T02:47:34Z,jbecker,1,Representative location based on OpenStreetMap,villa,"{""type"": ""Polygon"", ""coordinates"": [[[13.424255, 41.271759], [13.423689, 41.2720896], [13.4238056, 41.2722023], [13.4243715, 41.2718717], [13.424255, 41.271759]]]}",osm-location-of-villa-prato,precise,representative,300,-750,2020-12-20T11:52:21Z,/places/572329938/osm-location-of-villa-prato,/places/572329938,41.27198065,"41.2719806543,13.4240302595",13.42403026,,R,roman,"-30.0,300.0",OSM location of Villa Prato,6d11de2aedb24cf1aa298e51041047b3,,,,EUROPE,10640,prehistory
"Becker, J.","12.3098943, 42.5502955, 12.3098943, 42.5502955",2014-02-14T14:52:36Z,jbecker,3,"Poggio Gramignano, Lugnano in Teverina. Polygonal geometry representing the visible enclosure of the site, derived from an OpenStreetMap way.",villa,"{""type"": ""Point"", ""coordinates"": [12.3098943, 42.5502955]}",location-of-roman-villa,precise,representative,640,-750,2020-02-12T12:21:05Z,/places/330348886/location-of-roman-villa,/places/330348886,42.5502955,"42.5502955,12.3098943",12.3098943,,R,roman-early-empire-late-antique,"-30.0,640.0",OSM location of Poggio Gramignano villa romana,ad106d2c829f8be7b3c46ba9c6824dac,,,,EUROPE,10640,prehistory
"Becker, J.","12.741125, 42.74463, 12.741286, 42.7447455",2019-06-24T13:02:46Z,jbecker,1,Representative location based on OpenStreetMap.,villa,"{""type"": ""Polygon"", ""coordinates"": [[[12.7412235, 42.74463], [12.741125, 42.7446838], [12.7411875, 42.7447455], [12.741286, 42.7446917], [12.7412235, 42.74463]]]}",osm-location-of-pavimento-romano,precise,representative,640,-750,2020-02-12T12:21:26Z,/places/330348887/osm-location-of-pavimento-romano,/places/330348887,42.74468775,"42.74468775,12.7412055",12.7412055,,RL,"roman,late-antique","-30.0,640.0",OSM location of Pavimento romano,91784be914cf4c84ba4cc0ef7de45ef2,,,,EUROPE,10640,prehistory
"Becker, J.","10.3303423, 42.8118995, 10.3303423, 42.8118995",2019-06-24T21:05:11Z,jbecker,1,Representative location based on OpenStreetMap.,villa,"{""type"": ""Point"", ""coordinates"": [10.3303423, 42.8118995]}",osm-location-of-villa-romana-della-linguella,precise,representative,640,-750,2020-02-12T12:21:41Z,/places/850888151/osm-location-of-villa-romana-della-linguella,/places/850888151,42.8118995,"42.8118995,10.3303423",10.3303423,,RL,"roman,late-antique","-30.0,640.0",OSM location of Villa romana della Linguella,728fdbfcdf57491d9e2e188f7fecbf02,,,,EUROPE,10300,prehistory
"Becker, J.","14.4562144, 40.755964, 14.456872, 40.756496",2020-06-05T01:29:30Z,jbecker,1,Representative location based on OpenStreetMap,villa,"{""type"": ""Polygon"", ""coordinates"": [[[14.4565813, 40.755964], [14.4562888, 40.7560124], [14.4562144, 40.7561259], [14.4562272, 40.7561701], [14.4563076, 40.7563616], [14.4565388, 40.756496], [14.4567786, 40.7564564], [14.456872, 40.7563441], [14.4567967, 40.7560829], [14.4565813, 40.755964]]]}",osm-location-of-villa-lucius-crassius-tertius,precise,representative,300,-750,2020-06-05T11:17:50Z,/places/612970100/osm-location-of-villa-lucius-crassius-tertius,/places/612970100,40.75622781,"40.7562278109,14.4565198195",14.45651982,,R,roman,"-30.0,300.0",OSM location of Villa Lucius Crassius Tertius,97710a7201ac4f2c9ce52a69a2e2e2d4,,,,EUROPE,10300,prehistory
"Becker, J.","10.5381924, 45.4732041, 10.5381924, 45.4732041",2020-06-05T01:46:51Z,jbecker,1,Representative location based on OpenStreetMap,villa,"{""type"": ""Point"", ""coordinates"": [10.5381924, 45.4732041]}",osm-location-of-villa-romana-di-desenzano-del,precise,representative,300,-750,2020-06-05T11:11:45Z,/places/383634/osm-location-of-villa-romana-di-desenzano-del,/places/383634,45.4732041,"45.4732041,10.5381924",10.5381924,,R,roman,"-30.0,300.0",OSM location of Villa romana di Desenzano del Garda,4d15f5132b654c9cb7156be6070b3f78,,,,EUROPE,10640,prehistory
"Ã…hlfeldt, J.","9.614589, 44.923934, 9.614589, 44.923934",2012-10-20T19:29:33Z,jahlfeldt,0,"Representative point location, village precision",villa,"{""type"": ""Point"", ""coordinates"": [9.614589000000024, 44.923934]}",dare-location,precise,representative,300,-750,2012-10-20T19:29:35Z,/places/383659/dare-location,/places/383659,44.923934,"44.923934,9.614589",9.614589,,R,roman,"-30.0,300.0",DARE Location,0e4f82c149f9936802e82fed0e17fcf5,,,,EUROPE,10300,prehistory
"Becker, J.","12.6773956, 42.4002016, 12.6779827, 42.4006017",2017-12-31T20:42:11Z,jbecker,2,Representative location based on OpenStreetMap.,villa,"{""type"": ""Polygon"", ""coordinates"": [[[12.6779746, 42.4002016], [12.6773956, 42.4002075], [12.6774441, 42.4006017], [12.6779827, 42.4005408], [12.6779746, 42.4002016]]]}",osm-location-of-villa-romana-di-collesecco,precise,representative,640,-750,2018-01-05T19:56:33Z,/places/755104812/osm-location-of-villa-romana-di-collesecco,/places/755104812,42.40038477,"42.4003847684,12.6776902628",12.67769026,,RL,"roman,late-antique","-30.0,640.0",OSM location of Villa Romana di Collesecco,7abecfb61ef247f4b99f2ebe41b8e188,,,,EUROPE,10300,prehistory
"Becker, J.","6.9937858, 50.804587, 6.9937858, 50.804587",2014-07-08T02:39:03Z,jbecker,2,Representative location based on OpenStreetMap.,villa,"{""type"": ""Point"", ""coordinates"": [6.9937858, 50.804587]}",osm-location,precise,representative,640,-750,2020-12-20T12:08:00Z,/places/549572847/osm-location,/places/549572847,50.804587,"50.804587,6.9937858",6.9937858,,R,roman-early-empire-late-antique,"-30.0,640.0",OSM location of Wesseling Villa Rustica,71a925859a4a743d824448b928a568b8,,,,EUROPE,10300,prehistory
"Becker, J.","-4.6019759, 36.5645802, -4.6019759, 36.5645802",2013-11-28T19:19:36Z,jbecker,2,Representative location based on OpenStreetMap.,villa,"{""type"": ""Point"", ""coordinates"": [-4.6019759, 36.5645802]}",location-of-roman-villa,precise,representative,300,-720,2020-12-20T12:27:30Z,/places/818101307/location-of-roman-villa,/places/818101307,36.5645802,"36.5645802,-4.6019759",-4.6019759,,R,roman,"-30.0,300.0",OSM location of Villa romana de Torreblanca del Sol,bf5385d98dfca6740f7824b835b879c7,,,,EUROPE,10300,prehistory
"Novotny, J., J. Becker","40.5475, 38.529722, 40.5475, 38.529722",2017-11-30T08:16:21Z,jnovotny,6,The given coordinates are based on recent Google satellite imagery and annotated satellite imagery provided in Schachner and Karen Radner 2008. The caves/tunnels with the inscriptions are visible.,"tunnel,monument","{""type"": ""Point"", ""coordinates"": [40.5475, 38.529722]}",tigris-tunnel,precise,representative,-720,-750,2018-05-09T19:10:01Z,/places/914118846/tigris-tunnel,/places/914118846,38.529722,"38.529722,40.5475",40.5475,ANE,LE,"later-2nd-millennium-bc-mesopotamia,early-1st-millennium-mesopotamia","-1600.0,-720.0",Imagery Location of Tigris Tunnel (general area),89685b599c114ee08022ee58d1999d47,,,,EUROPE,1050,prehistory
